iteration,query_idx,question,options,expected_answer,generated_query,successful,returned_results,correct,results,error
1,1,What should be the maximum surface temperature of a device attachment that is not intended to heat the patient?,"['43℃', '36℃', '38℃', '41℃']",41℃,MATCH (d:DeviceAttachment {isA: 'NonHeatingMedicalDeviceAttachment'})-[:employsSafetyProtocol]->(s:SafetyProtocol41C) RETURN s.name AS maximumSurfaceTemperature,True,False,False,[],
1,2,What is the band of electromagnetic waves used in a thermographic camera?,"['X-ray', 'Microwave', 'Ultraviolet', 'Infrared']",Infrared,MATCH (c:DiagnosticDevice {isA: 'ThermographicCamera'})-[:uses]->(w:ElectromagneticWaveModality) WHERE w.isA = 'Infrared' RETURN w.isA AS bandOfWaves,True,False,False,[],
1,3,Which of the following is not a suitable material for the membrane oxygenator in an artificial heart-lung machine?,"['Ceramic membrane', 'Teflon membrane', 'Silicon rubber membrane', 'Polypropylene membrane']",Ceramic membrane,MATCH (o:MembraneOxygenator)-[:constructedWith]->(m:Material) WHERE NOT m.isA = 'Ceramic' RETURN m.isA AS unsuitableMaterial,True,False,False,[],
1,4,Which device diagnoses the condition of bones by measuring the calcium concentration in bones using X-rays or ultrasound?,"['Bone densitometer', 'Sphygmomanometer', 'Patient monitor', 'Capsule endoscopy']",bone densitometer,MATCH (d:DiagnosticDevice {isA: 'BoneDensitometer'}) RETURN d.isA AS device,True,False,False,[],
1,5,Which of the following is NOT a typical method for processing analog biological signals?,"['Demodulation', 'Synthesis', 'Modulation', 'Amplification']",Synthesis,MATCH (t:BiomedicalSignalProcessingTechnique) WHERE t.isA = 'Synthesis' RETURN t.isA AS methodType,True,False,False,[],
1,6,The wall of the heart is structured in three layers. What is the correct order of these layers from the outermost to the innermost?,"['Endocardium-Myocardium-Epicardium', 'Endocardium-Epicardium-Myocardium', 'Epicardium-Endocardium-Myocardium', 'Epicardium-Myocardium-Endocardium']",Epicardium-Myocardium-Endocardium,"MATCH (h:HeartAnatomyLayer) WHERE h.name IN ['Epicardium', 'Myocardium', 'Endocardium'] RETURN h.name ORDER BY SIZE(COLLECT(h.name))",False,False,False,[],"{code: Neo.ClientError.Statement.SyntaxError} {message: Cannot use aggregation in ORDER BY if there are no aggregate expressions in the preceding RETURN (line 1, column 89 (offset: 88))
""MATCH (h:HeartAnatomyLayer) WHERE h.name IN ['Epicardium', 'Myocardium', 'Endocardium'] RETURN h.name ORDER BY SIZE(COLLECT(h.name))""
                                                                                         ^}"
1,7,Which of the following biomaterials has the lowest modulus of elasticity?,"['Aluminium', 'Zirconium', 'Stainless steel', 'Synovial fluid']",Synovial fluid,"MATCH (m:Material) WHERE m.name IN ['Aluminium', 'Zirconium', 'StainlessSteel', 'SynovialFluid'] RETURN m.name ORDER BY m.modulus LIMIT 1",True,False,False,[],
1,8,Where is insulin produced?,"['Kidney', 'Spleen', 'Liver', 'Pancreas']",pancreas,MATCH (p:OrganStructure {name: 'Pancreas'}) RETURN p.name,True,False,False,[],
1,9,Which method can be used to analyze the crystal structure by calculating the interplanar spacing within the biomaterial?,"['X-ray diffraction analysis', 'Scanning electron microscopy', 'X-ray tomography', 'X-ray energy dispersive analysis']",X-ray diffraction analysis,MATCH (x:DiagnosticTool {name: 'XRayDiffractionAnalysis'}) RETURN x.name,True,False,False,[],
1,10,Which device is used in the image acquisition part of PACS?,"['ODJ', 'Plotter', 'Film digitizer', 'ATM']",film digitizer,MATCH (f:DiagnosticDevice {name: 'FilmDigitizer'})-[:isA]->(p:HealthInformaticsSystem {name: 'PACS'}) RETURN f.name,True,False,False,[],
1,11,Which of the following is not a property of biomedical ceramic materials?,"['Biocompatible.', 'Easy to mold and process.', 'High compressive strength.', 'Wear resistance and corrosion resistance.']",Easy to mold and process.,MATCH (c:Ceramic)-[:interactsWithBiologicalTissue]->(t:Bone) WHERE c.subject = 'BiomedicalCeramicMaterials' RETURN c.subject,True,False,False,[],
1,12,What type of test conditions are implemented when evaluating biocompatibility using cells or tissues?,"['Clinical test', 'Animal test', 'In vitro test', 'In vivo test']",In vitro test,MATCH (t:BiocompatibilityTestCriterion) WHERE t.subject = 'InVitroTest' RETURN t.subject,True,False,False,[],
