query_idx,question,expected_answer,successful_any_iteration,returned_results_any_iteration,correct_any_iteration,successful_iterations,results_iterations,correct_iterations
1,What should be the maximum surface temperature of a device attachment that is not intended to heat the patient?,41℃,True,False,False,3,0,0
2,What is the band of electromagnetic waves used in a thermographic camera?,Infrared,True,False,False,3,0,0
3,Which of the following is not a suitable material for the membrane oxygenator in an artificial heart-lung machine?,Ceramic membrane,True,False,False,3,0,0
4,Which device diagnoses the condition of bones by measuring the calcium concentration in bones using X-rays or ultrasound?,bone densitometer,True,False,False,3,0,0
5,Which of the following is NOT a typical method for processing analog biological signals?,Synthesis,True,False,False,2,0,0
6,The wall of the heart is structured in three layers. What is the correct order of these layers from the outermost to the innermost?,Epicardium-Myocardium-Endocardium,True,False,False,2,0,0
7,Which of the following biomaterials has the lowest modulus of elasticity?,Synovial fluid,True,False,False,3,0,0
8,Where is insulin produced?,pancreas,True,False,False,3,0,0
9,Which method can be used to analyze the crystal structure by calculating the interplanar spacing within the biomaterial?,X-ray diffraction analysis,True,False,False,3,0,0
10,Which device is used in the image acquisition part of PACS?,film digitizer,True,False,False,3,0,0
11,Which of the following is not a property of biomedical ceramic materials?,Easy to mold and process.,True,True,False,2,1,0
12,What type of test conditions are implemented when evaluating biocompatibility using cells or tissues?,In vitro test,True,True,False,2,1,0
13,What is the name of the electromyography method that measures and records the action potentials generated from muscles under the control of a nerve by directly applying electrical stimulation to the peripheral nerve?,Evoked electromyography,True,False,False,2,0,0
14,Which of the following is NOT a component of an extracorporeal shock wave lithotripter?,temperature control device,True,True,False,2,1,0
15,"Which part of the brain is responsible for sensory information related to balance, movement, and muscle tone, and corresponds to the homeostatic regulator that maintains normal body temperature?",cerebellum,True,False,False,2,0,0
16,Which of the following descriptions about the gamma camera is incorrect?,The scintillation crystal converts gamma rays into infrared rays.,True,False,False,3,0,0
17,"To classify medical procedures using a combination code that arranges the actions, instruments, purposes, and parts of the therapeutic process in order, how many total codes are needed if there are 10 types of actions, 10 types of instruments, 10 types of purposes, and 20 types of parts?","20,000 types",True,True,False,3,1,0
18,Which gas is used for freezing purposes such as preserving umbilical cord blood?,Nitrogen,True,False,False,3,0,0
19,What is the correct sequence of inflammatory response around the damaged wound tissue caused by the insertion of biomaterials?,Capillary dilation → Cell infiltration → Regeneration → Epithelialization → Disintegration,True,False,False,3,0,0
26,Which of the following is NOT a measurement parameter of patient monitoring devices?,"Body temperature, electromyography",True,True,False,3,1,0
27,"What is the name of the medical expert system created for the diagnosis, treatment, and advice system for bloodborne diseases and meningitis?",MYCIN,True,False,False,3,0,0
28,Which of the following is not an interaction between the human body and diagnostic radiation?,Mass defect,True,False,False,2,0,0
29,Which test belongs to dynamic testing method that measures the mechanical properties of biomaterials caused by repetitive loading?,fatigue test,True,False,False,3,0,0
30,What is the first phenomenon that occurs when a medical device made of biomaterials enters the bloodstream?,protein denaturation and adsorption,True,False,False,3,0,0
31,Which of the following is not related to the Anatomical Therapeutic Chemical (ATC) classification system?,It uses mnemonic codes.,True,False,False,3,0,0
32,Which device does not use a catheter?,fetal stethoscope,True,True,False,3,2,0
33,"Which medical device measures body composition such as water, protein, and fat by flowing a constant alternating current through the body and measuring impedance?",body composition analyzer,True,True,False,3,1,0
34,Which of the following is NOT commonly measured by a patient monitoring device?,Electromyography (EMG),True,True,False,2,1,0
35,"Which action of laser medical devices causes disruption of cell membranes, evaporation of water from cells, swelling, and cell rupture?",Thermal action,True,False,False,2,0,0
36,What is the type of a material such as alumina that does not cause any chemical reaction in the body after being implanted into biological tissue?,Bioinert material,True,False,False,3,0,0
37,Which of the following is NOT an imaging variable in Magnetic Resonance Imaging (MRI)?,Electron density,True,True,False,3,1,0
38,What is the typical material used for metal electrodes in biopotential signal measurement?,Ag-AgCl,True,False,False,3,0,0
39,Which of the following structures is not part of the hindbrain?,hypothalamus,True,False,False,3,0,0
40,Which of the following statements about hemodialysis is incorrect?,Inserting a catheter into a vein for vascular access is called an arteriovenous fistula.,True,False,False,3,0,0
41,Which of the following is NOT a clinical impact of PACS (Picture Archiving and Communication System)?,standards are unnecessary for the exchange of imaging information,True,True,False,2,1,0
42,Which combination of factors affecting the degree of heat transfer from biological tissues is incorrect?,"Tissue density, tissue specific heat, convection",True,True,True,2,2,1
43,Which of the following statements about the heart is incorrect?,The plateau phase in the cardiac muscle action potential curve is due to the action of Fe.,True,True,True,2,2,1
44,Which law is related to the measurement of oxygen saturation?,Beer's law on the absorption of light,True,False,False,1,0,0
45,Which of the following is commonly known as Teflon and primarily used for making artificial blood vessels?,PTFE (Polytetrafluoroethylene),True,False,False,2,0,0
46,Which of the following is NOT a problem that can arise from the use of artificial joints?,Increased bone density,True,True,False,3,1,0
47,What effect is used to measure the velocity of blood flow by measuring the frequency change of the ultrasound reflected back from the blood cells?,Doppler effect,True,False,False,3,0,0
48,Which of the following statements about bio-surface electrodes is incorrect?,"Contact resistance is proportional to the area, so the actual contact area with the surface should be reduced.",True,False,False,3,0,0
49,Which of the following is NOT a goal of medical informatics as proposed by the American Medical Informatics Association (AMIA)?,Increasing the efficiency of medical records,True,False,False,3,0,0
50,Which of the following is NOT a basic function of an incubator?,freezing control,True,False,False,3,0,0
51,Which of the following is NOT correct definition of electrocardiogram (ECG) waveforms?,The T wave represents repolarization of the atria,True,False,False,3,0,0
52,Which of the following is NOT a required property for the metal materials used in artificial hip joints?,Brittleness,True,False,False,3,0,0
61,Which of the following is an initial evaluation test for the biological safety of a medical device?,implantation test,True,False,False,3,0,0
62,Which factor does not significantly affect the signal when measuring an electrocardiogram (ECG)?,Changes in temperature and humidity of the examination room,True,False,False,3,0,0
63,What is the phenomenon where substances move in only one direction due to the selective permeability of the cell membrane?,Osmosis,True,False,False,3,0,0
64,Which of the following is NOT a component of a cardiopulmonary bypass machine?,arteriovenous fistula,True,False,False,2,0,0
65,"What is the device that helps to restore function, directly or indirectly heal, or prevent deterioration in areas where the human body has structural defects or lost/reduced function through artificial apparatus or devices?",Orthosis,True,False,False,3,0,0
66,Which of the following radiation therapy devices is not an external beam therapy device?,Gamma knife units,True,False,False,3,0,0
67,Which of the following is NOT a component of an anesthesia machine system?,condenser,True,False,False,3,0,0
68,Which mode of ventilation in mechanical ventilators delivers air in synchrony with the patient's ventilatory effort?,Synchronized intermittent mandatory ventilation,True,False,False,3,0,0
69,Which respiratory function test assesses the ability of the lungs to distribute air evenly between alveoli?,Distribution capacity,True,False,False,3,0,0
